MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000610,Kingston upon Thames 013,7.4,5
E02000611,Kingston upon Thames 014,9.8,5
E02000612,Kingston upon Thames 015,9.2,5
E02000613,Kingston upon Thames 016,7.8,5
E02000614,Kingston upon Thames 017,6.2,5
E02000615,Kingston upon Thames 018,8.0,5
E02000616,Kingston upon Thames 019,8.75,4
E02000617,Kingston upon Thames 020,6.0,5
E02000619,Lambeth 002,3.8,5
E02000620,Lambeth 003,4.0,6
E02000621,Lambeth 004,5.5,8
E02000622,Lambeth 005,4.2,5
E02000623,Lambeth 006,3.8,5
E02000624,Lambeth 007,3.8,5
E02000625,Lambeth 008,3.8,5
E02000626,Lambeth 009,2.2,5
E02000627,Lambeth 010,3.8,5
E02000628,Lambeth 011,3.1666666666666665,6
E02000629,Lambeth 012,5.0,5
E02000630,Lambeth 013,5.6,5
E02000631,Lambeth 014,5.2,5
E02000632,Lambeth 015,6.0,5
E02000633,Lambeth 016,3.4,5
E02000634,Lambeth 017,3.75,4
E02000635,Lambeth 018,4.4,5
E02000636,Lambeth 019,7.2,5
E02000637,Lambeth 020,5.2,5
E02000638,Lambeth 021,4.2,5
E02000639,Lambeth 022,4.0,5
E02000640,Lambeth 023,6.833333333333333,6
E02000641,Lambeth 024,3.0,5
E02000642,Lambeth 025,4.6,5
E02000643,Lambeth 026,5.4,5
E02000644,Lambeth 027,4.8,5
E02000645,Lambeth 028,4.8,5
E02000646,Lambeth 029,5.0,5
E02000647,Lambeth 030,5.8,5
E02000648,Lambeth 031,2.4,5
E02000649,Lambeth 032,3.8333333333333335,6
E02000650,Lambeth 033,3.8,5
E02000651,Lambeth 034,4.4,5
E02000652,Lambeth 035,4.4,5
E02000653,Lewisham 001,5.142857142857143,7
E02000654,Lewisham 002,2.6,5
E02000655,Lewisham 003,3.8,5
E02000657,Lewisham 005,4.0,5
E02000658,Lewisham 006,5.0,5
E02000659,Lewisham 007,5.2,5
E02000660,Lewisham 008,4.6,5
E02000661,Lewisham 009,6.0,4
E02000662,Lewisham 010,4.2,5
E02000663,Lewisham 011,5.25,4
E02000665,Lewisham 013,4.75,4
E02000666,Lewisham 014,4.5,4
E02000667,Lewisham 015,6.5,4
E02000668,Lewisham 016,6.0,4
E02000669,Lewisham 017,4.0,5
E02000670,Lewisham 018,2.5,4
E02000671,Lewisham 019,5.4,5
E02000672,Lewisham 020,3.1666666666666665,6
E02000673,Lewisham 021,5.8,5
E02000674,Lewisham 022,4.6,5
E02000675,Lewisham 023,5.2,5
E02000676,Lewisham 024,5.2,5
E02000677,Lewisham 025,3.75,4
E02000678,Lewisham 026,2.5,4
E02000679,Lewisham 027,4.0,5
E02000680,Lewisham 028,4.0,4
E02000681,Lewisham 029,2.8,5
E02000682,Lewisham 030,2.8,5
E02000683,Lewisham 031,3.0,4
E02000685,Lewisham 033,4.2,5
E02000686,Lewisham 034,2.25,4
E02000687,Lewisham 035,3.8,5
E02000689,Merton 001,8.5,6
E02000690,Merton 002,9.75,4
E02000691,Merton 003,7.8,5
E02000692,Merton 004,9.2,5
E02000693,Merton 005,7.666666666666667,6
E02000694,Merton 006,8.2,5
E02000695,Merton 007,5.6,5
E02000696,Merton 008,5.2,5
E02000697,Merton 009,9.4,5
E02000698,Merton 010,9.6,5
E02000699,Merton 011,9.6,5
E02000700,Merton 012,4.0,5
E02000701,Merton 013,4.4,5
E02000702,Merton 014,4.0,5
E02000703,Merton 015,9.2,5
E02000704,Merton 016,6.8,5
E02000705,Merton 017,5.8,5
E02000706,Merton 018,3.0,5
E02000707,Merton 019,3.6,5
