BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
7842,190059,Hotel/bed & breakfast/guest house,5.0,51.35056305,10/00544/COMM,507,Croydon,-0.098953001,5
1,1723,Restaurant/Cafe/Canteen,0.0,51.36153793,00370/0003/0/200,507,Croydon,-0.085513003,5
1,1746121,Restaurant/Cafe/Canteen,5.0,51.3766976,24/00439/COMM,507,Croydon,-0.0958062,5
7841,4719,Other catering premises,0.0,51.32993698,01309/2002/2/200,507,Croydon,-0.069618002,5
4613,1570180,Retailers - other,0.0,51.3845124,22/00914/COMM,507,Croydon,-0.0924927,5
4613,15135,Retailers - other,,51.34104156,05/00115/COMM,507,Croydon,-0.014103,4
4613,1720255,Retailers - other,0.0,51.3978919,24/00256/COMM,507,Croydon,-0.1022431,4
1,1356983,Restaurant/Cafe/Canteen,10.0,51.3983844,21/00229/COMM,507,Croydon,-0.1011158,3
7843,918578,Pub/bar/nightclub,0.0,51.3981991,16/00573/COMM,507,Croydon,-0.0765407,5
4613,1971,Retailers - other,10.0,51.30721664,00526/0248/0/200,507,Croydon,-0.120745003,3
4613,1775017,Retailers - other,5.0,51.34433746,24/00651/COMM,507,Croydon,-0.060469002,4
4613,6201,Retailers - other,0.0,51.37286377,02047/0032/0/200,507,Croydon,-0.101607002,5
1,7681,Restaurant/Cafe/Canteen,0.0,51.38153458,03/00142/COMM,507,Croydon,-0.093401,5
4613,1281310,Retailers - other,0.0,51.3786116,20/00429/COMM,507,Croydon,-0.1029261,5
1,1593398,Restaurant/Cafe/Canteen,10.0,51.36565781,23/00095/COMM,507,Croydon,-0.098757997,2
1,1813411,Restaurant/Cafe/Canteen,,51.3730485,25/00305/COMM,507,Croydon,-0.1005075,5
1,1855481,Restaurant/Cafe/Canteen,5.0,51.37565613,25/00609/COMM,507,Croydon,-0.090829,5
4613,1053365,Retailers - other,0.0,51.41932678,18/00283/COMM,507,Croydon,-0.079345003,5
1,1242263,Restaurant/Cafe/Canteen,5.0,51.41743469,20/00149/COMM,507,Croydon,-0.082084998,5
4613,7074,Retailers - other,5.0,51.41228104,02672/1551/0/201,507,Croydon,-0.124104001,4
4613,1842556,Retailers - other,0.0,51.3727283,25/00478/COMM,507,Croydon,-0.100583,5
4613,15285,Retailers - other,5.0,51.37966537,05/00160/COMM,507,Croydon,-0.087458,4
1,1502312,Restaurant/Cafe/Canteen,5.0,51.3304683,22/00256/COMM,507,Croydon,-0.0921228,5
4613,15449,Retailers - other,0.0,51.36014557,05/00235/COMM,507,Croydon,-0.095468,4
4613,4840,Retailers - other,0.0,51.38212585,01351/0301/0/200,507,Croydon,-0.06978,5
4613,1412436,Retailers - other,0.0,51.40837097,21/00620/COMM,507,Croydon,-0.094599999,4
1,6266,Restaurant/Cafe/Canteen,5.0,51.39736557,02064/0227/0/200,507,Croydon,-0.080394998,5
1,1846526,Restaurant/Cafe/Canteen,15.0,51.37529617,25/00522/COMM,507,Croydon,-0.04610169,2
1,1883486,Restaurant/Cafe/Canteen,0.0,51.3979827,25/00801/COMM,507,Croydon,-0.0770529,4
